run_accession	study_id	cohort
ERR525770	38	B
ERR525769	38	4M
ERR525882	89	4M
ERR526016	71	12M
ERR525897	57	4M
ERR525798	44	B
ERR525811	46	4M
ERR525700	29	12M
ERR525927	82	B
ERR525974	67	B
ERR525803	14	B
ERR526017	71	4M
ERR525891	91	4M
ERR525773	39	4M
ERR525898	58	12M
ERR525896	57	12M
ERR525775	39	M
ERR525899	58	4M
ERR525697	30	M
ERR525968	66	12M
ERR525743	13	12M
ERR526024	24	12M
ERR526013	70	4M
ERR526014	70	B
ERR525772	39	12M
ERR525883	90	B
ERR525900	59	B
ERR525905	19	4M
ERR525774	39	B
ERR525690	9	4M
ERR525875	54	M
ERR525737	33	M
ERR525693	1	4M
ERR525694	30	12M
ERR526018	71	B
ERR525801	14	12M
ERR526048	97	12M
ERR526009	22	4M
ERR525766	79	B
ERR525802	14	4M
ERR525789	42	4M
ERR525790	42	B
ERR525779	40	M
ERR525782	80	B
ERR525692	9	M
ERR525885	56	4M
ERR525888	91	B
ERR525767	79	M
ERR525796	44	12M
ERR526046	74	B
ERR525904	19	12M
ERR525876	55	12M
ERR525880	56	12M
ERR525792	43	12M
ERR525895	56	M
ERR525911	2	M
ERR525932	61	12M
ERR526054	75	B
ERR526052	75	12M
ERR525886	90	12M
ERR526033	72	4M
ERR525981	68	4M
ERR526040	73	12M
ERR525763	37	M
ERR525893	91	M
ERR525894	56	B
ERR525768	38	12M
ERR526041	73	4M
ERR526025	24	4M
ERR525908	2	12M
ERR526023	23	M
ERR525965	7	4M
ERR525696	30	B
ERR525800	87	12M
ERR526006	21	B
ERR526008	22	12M
ERR526015	70	M
ERR525884	89	M
ERR526029	25	4M
ERR525873	54	4M
ERR525907	19	M
ERR525728	78	B
ERR526047	74	M
ERR525689	9	12M
ERR525780	80	12M
ERR526049	97	4M
ERR525922	60	B
ERR526058	26	B
ERR526034	72	B
ERR525902	57	B
ERR525901	58	M
ERR526010	22	B
ERR526027	24	M
ERR525721	29	4M
ERR526028	25	12M
ERR525786	41	B
ERR525740	86	B
ERR525881	89	12M
ERR525839	16	M
ERR525892	58	B
ERR525887	90	4M
ERR526060	98	12M
ERR525762	37	B
ERR526043	73	M
ERR525903	57	M
ERR525804	14	M
ERR525787	41	M
ERR526072	76	B
ERR526084	85	12M
ERR525943	94	M
ERR526022	23	B
ERR526045	74	4M
ERR526038	84	B
ERR526012	70	12M
ERR526042	73	B
ERR526003	96	M
ERR525791	42	M
ERR525877	55	4M
ERR525794	43	B
ERR525909	2	4M
ERR525724	11	B
ERR525717	5	12M
ERR525735	33	4M
ERR525808	45	B
ERR526050	97	B
ERR525807	45	4M
ERR525920	60	12M
ERR525793	43	4M
ERR525871	18	M
ERR526037	84	4M
ERR525805	87	4M
ERR525878	89	B
ERR525698	1	B
ERR525785	41	4M
ERR525745	34	B
ERR526021	23	4M
ERR525890	91	12M
ERR525966	7	B
ERR526011	22	M
ERR525838	16	B
ERR525797	44	4M
ERR526036	84	12M
ERR526035	72	M
ERR526080	28	12M
ERR526071	76	4M
ERR526074	100	B
ERR525832	49	12M
ERR525831	48	M
ERR525948	63	M
ERR526086	85	B
ERR525691	9	B
ERR525760	37	12M
ERR525759	29	M
ERR525761	37	4M
ERR525755	36	4M
ERR526007	21	M
ERR525720	5	M
ERR525857	52	4M
ERR525834	49	B
ERR525727	78	4M
ERR525731	12	4M
ERR525918	92	B
ERR525912	59	12M
ERR525946	63	4M
ERR525688	1	12M
ERR525806	45	12M
ERR525795	43	M
ERR526039	84	M
ERR526030	25	B
ERR526026	24	B
ERR525783	80	M
ERR525699	1	M
ERR525788	42	12M
ERR525742	34	12M
ERR526020	23	12M
ERR525970	66	B
ERR525734	33	12M
ERR525942	94	B
ERR525765	79	4M
ERR525764	79	12M
ERR526056	26	12M
ERR525906	19	B
ERR525799	44	M
ERR525715	32	B
ERR526082	28	B
ERR526070	76	12M
ERR526073	76	M
ERR526068	100	12M
ERR525829	48	4M
ERR525971	66	M
ERR526053	75	4M
ERR525916	92	12M
ERR525919	92	M
ERR525872	54	12M
ERR525867	81	M
ERR525874	55	B
ERR525723	11	4M
ERR526057	26	4M
ERR526087	85	M
ERR525729	78	M
ERR525725	11	M
ERR525915	59	M
ERR525830	48	B
ERR525821	47	4M
ERR525828	48	12M
ERR526005	21	4M
ERR526032	72	12M
ERR526031	25	M
ERR525702	10	4M
ERR525701	10	12M
ERR526083	28	M
ERR525784	41	12M
ERR525739	86	4M
ERR525733	12	M
ERR525975	67	M
ERR525956	64	12M
ERR525726	78	12M
ERR526051	97	M
ERR525921	60	4M
ERR525753	13	M
ERR525756	36	B
ERR525987	69	M
ERR525910	2	B
ERR525853	51	4M
ERR525713	32	12M
ERR525708	10	M
ERR525709	77	12M
ERR525944	3	12M
ERR525889	90	M
ERR525826	88	B
ERR525825	88	4M
ERR525757	36	M
ERR525736	33	B
ERR525917	92	4M
ERR526000	96	12M
ERR525879	55	M
ERR525809	45	M
ERR525923	60	M
ERR525847	6	M
ERR525718	5	4M
ERR526085	85	4M
ERR525704	31	4M
ERR525722	11	12M
ERR525951	95	4M
ERR525913	59	4M
ERR525835	49	M
ERR526001	96	4M
ERR525695	30	4M
ERR525754	36	12M
ERR525988	20	12M
ERR525929	93	4M
ERR525776	40	12M
ERR525777	40	4M
ERR525719	5	B
ERR525972	67	12M
ERR526075	100	M
ERR525749	35	B
ERR525730	12	12M
ERR525961	65	4M
ERR525758	29	B
ERR525931	93	M
ERR526004	21	12M
ERR525964	7	12M
ERR525714	32	4M
ERR526079	4	M
ERR526069	100	4M
ERR525738	86	12M
ERR526002	96	B
ERR525947	63	B
ERR525953	95	M
ERR525990	20	B
ERR525827	88	M
ERR525959	64	M
ERR525866	18	B
ERR526055	75	M
ERR525989	20	4M
ERR526019	71	M
ERR525744	34	4M
ERR525833	49	4M
ERR526078	4	B
ERR525771	38	M
ERR525703	31	12M
ERR525997	8	4M
ERR525958	64	B
ERR525837	16	4M
ERR525859	52	M
ERR525732	12	B
ERR525928	82	M
ERR525870	54	B
ERR525938	62	B
ERR526077	4	4M
ERR525778	40	B
ERR525741	86	M
ERR525710	77	4M
ERR525969	66	4M
ERR525952	95	B
ERR526063	98	M
ERR525815	87	M
ERR525851	50	M
ERR525849	50	4M
ERR525868	18	12M
ERR525967	7	M
ERR525983	68	M
ERR525973	67	4M
ERR526081	28	4M
ERR525711	77	B
ERR525957	64	4M
ERR525939	62	M
ERR525705	31	B
ERR525836	16	12M
ERR525949	3	4M
ERR525945	63	12M
ERR525992	83	12M
ERR525955	3	M
ERR525852	51	12M
ERR525869	18	4M
ERR525781	80	4M
ERR525963	65	M
ERR525712	77	M
ERR525750	13	4M
ERR525954	3	B
ERR526065	27	4M
ERR525999	8	M
ERR525752	13	B
ERR525865	81	4M
ERR525995	83	M
ERR525861	53	4M
ERR525960	65	12M
ERR525926	82	4M
ERR525716	32	M
ERR525985	69	4M
ERR526059	26	M
ERR525986	69	B
ERR526064	27	12M
ERR526076	4	12M
ERR525950	95	12M
ERR525819	15	M
ERR525858	53	B
ERR526062	98	B
ERR525863	53	M
ERR525854	52	B
ERR525962	65	B
ERR525848	50	12M
ERR525864	81	12M
ERR526061	98	4M
ERR525940	94	12M
ERR525817	15	4M
ERR525935	61	M
ERR525823	47	M
ERR525998	8	B
ERR525993	83	4M
ERR525813	46	M
ERR525844	6	12M
ERR525855	51	M
ERR525936	62	12M
ERR525930	93	B
ERR525707	10	B
ERR526066	27	B
ERR525925	93	12M
ERR525982	68	B
ERR525845	6	4M
ERR525860	53	12M
ERR525747	35	12M
ERR525996	8	12M
ERR525706	31	M
ERR525941	94	4M
ERR525850	51	B
ERR525862	81	B
ERR525814	87	B
ERR525824	88	12M
ERR525816	15	12M
ERR525980	68	12M
ERR525924	82	12M
ERR525818	15	B
ERR525994	83	B
ERR525822	47	B
ERR526067	27	M
ERR525856	52	12M
ERR525746	34	M
ERR525846	50	B
ERR525991	20	M
ERR525933	61	4M
ERR525810	46	12M
ERR525748	35	4M
ERR525820	47	12M
ERR525751	35	M
ERR525937	62	4M
ERR525984	69	12M
ERR525934	61	B
ERR525812	46	B
ERR525842	6	B
