study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias
PRJNA352475	SAMN06350236	SRS1992690	SRX2577861	SRR5273878	2973_t4	CA_C10055IS2973FE_t4M16
PRJNA352475	SAMN06350235	SRS1992691	SRX2577862	SRR5273879	2963_t1	CA_C10055IS2963SA_t1M16
PRJNA352475	SAMN06350234	SRS1992692	SRX2577863	SRR5273880	2960_t0	CA_C10055MS2960SK_t0M15
PRJNA352475	SAMN06350233	SRS1992693	SRX2577864	SRR5273881	2959_t0	CA_C10055MS2959VA_t0M16
PRJNA352475	SAMN06350232	SRS1992694	SRX2577865	SRR5273882	2958_t0	CA_C10055MS2958FE_t0M16
PRJNA352475	SAMN06350231	SRS1992695	SRX2577866	SRR5273883	2957_t0	CA_C10055MS2957SA_t0M16
PRJNA352475	SAMN06350230	SRS1992696	SRX2577867	SRR5273884	2969_t3	CA_C10055IS2969FE_t3M16
PRJNA352475	SAMN06350229	SRS1992697	SRX2577868	SRR5273885	2966_t2	CA_C10055IS2966SA_t2M16
PRJNA352475	SAMN06350228	SRS1992698	SRX2577869	SRR5273886	2965_t2	CA_C10055IS2965FE_t2M16
PRJNA352475	SAMN06350227	SRS1992699	SRX2577870	SRR5273887	2962_t1	CA_C10055IS2962FE_t1M16
PRJNA352475	SAMN06350226	SRS1992700	SRX2577871	SRR5273888	2920_t5	CA_C10052IS2920FE_t5M16
PRJNA352475	SAMN06350225	SRS1992701	SRX2577872	SRR5273889	2915_t3	CA_C10052IS2915FE_t3M16
PRJNA352475	SAMN06350224	SRS1992702	SRX2577873	SRR5273890	2912_t2	CA_C10052IS2912SA_t2M16
PRJNA352475	SAMN06350223	SRS1992703	SRX2577874	SRR5273891	2911_t2	CA_C10052IS2911FE_t2M16
PRJNA352475	SAMN06350222	SRS1992704	SRX2577875	SRR5273892	2908_t1	CA_C10052IS2908FE_t1M16
PRJNA352475	SAMN06350221	SRS1992705	SRX2577876	SRR5273893	2909_t1	CA_C10052IS2909SA_t1M16
PRJNA352475	SAMN06350220	SRS1992706	SRX2577877	SRR5273894	2903_t0	CA_C10052MS2903SA_t0M16
PRJNA352475	SAMN06350219	SRS1992707	SRX2577878	SRR5273895	2904_t0	CA_C10052MS2904FE_t0M16
PRJNA352475	SAMN06350218	SRS1992708	SRX2577879	SRR5273896	2906_t0	CA_C10052MS2906SK_t0M15
PRJNA352475	SAMN06350217	SRS1992710	SRX2577880	SRR5273897	2905_t0	CA_C10052MS2905VA_t0M15
PRJNA352475	SAMN06350216	SRS1992709	SRX2577881	SRR5273898	2855_t1	CA_C10049IS2855SA_t1M16
PRJNA352475	SAMN06350215	SRS1992711	SRX2577882	SRR5273899	2850_t0	CA_C10049MS2850FE_t0M16
PRJNA352475	SAMN06350214	SRS1992712	SRX2577883	SRR5273900	2857_t2	CA_C10049IS2857FE_t2M16
PRJNA352475	SAMN06350213	SRS1992713	SRX2577884	SRR5273901	2866_t5	CA_C10049IS2866FE_t5M16
PRJNA352475	SAMN06350212	SRS1992714	SRX2577885	SRR5273902	2866_t4	CA_C10049IS2866FE_t4M16
PRJNA352475	SAMN06350211	SRS1992718	SRX2577886	SRR5273903	2861_t3	CA_C10049IS2861FE_t3M16
PRJNA352475	SAMN06350210	SRS1992717	SRX2577887	SRR5273904	2858_t2	CA_C10049IS2858SA_t2M16
PRJNA352475	SAMN06350209	SRS1992715	SRX2577888	SRR5273905	2854_t1	CA_C10049IS2854FE_t1M16
PRJNA352475	SAMN06350208	SRS1992716	SRX2577889	SRR5273906	2849_t0	CA_C10049MS2849SA_t0M16
PRJNA352475	SAMN06350207	SRS1993181	SRX2577890	SRR5273907	2852_t0	CA_C10049MS2852SK_t0M15
PRJNA352475	SAMN06350206	SRS1992719	SRX2577891	SRR5273908	2851_t0	CA_C10049MS2851VA_t0M15
PRJNA352475	SAMN06350205	SRS1992720	SRX2577892	SRR5273909	2747_t1	CA_C10043IS2747SA_t1M16
PRJNA352475	SAMN06350204	SRS1992723	SRX2577893	SRR5273910	2744_t0	CA_C10043MS2744SK_t0M15
PRJNA352475	SAMN06350203	SRS1992721	SRX2577894	SRR5273911	2743_t0	CA_C10043MS2743VA_t0M15
PRJNA352475	SAMN06350202	SRS1992722	SRX2577895	SRR5273912	2742_t0	CA_C10043MS2742FE_t0M16
PRJNA352475	SAMN06350201	SRS1992726	SRX2577896	SRR5273913	2741_t0	CA_C10043MS2741SA_t0M16
PRJNA352475	SAMN06350200	SRS1992725	SRX2577897	SRR5273914	2750_t2	CA_C10043IS2750SA_t2M16
PRJNA352475	SAMN06350199	SRS1992727	SRX2577898	SRR5273915	2749_t2	CA_C10043IS2749FE_t2M16
PRJNA352475	SAMN06350198	SRS1992724	SRX2577899	SRR5273916	2723_t0	CA_C10042MS2723SA_t0M16
PRJNA352475	SAMN06350197	SRS1992728	SRX2577900	SRR5273917	2739_t5	CA_C10042IS2739FE_t5M16
PRJNA352475	SAMN06350196	SRS1992729	SRX2577901	SRR5273918	2739_t4	CA_C10042IS2739FE_t4M16
PRJNA352475	SAMN06350195	SRS1992730	SRX2577902	SRR5273919	2735_t3	CA_C10042IS2735FE_t3M16
PRJNA352475	SAMN06350194	SRS1992731	SRX2577903	SRR5273920	2731_t2	CA_C10042IS2731FE_t2M16
PRJNA352475	SAMN06350193	SRS1992732	SRX2577904	SRR5273921	2732_t2	CA_C10042IS2732SA_t2M16
PRJNA352475	SAMN06350192	SRS1992733	SRX2577905	SRR5273922	2724_t0	CA_C10042MS2724FE_t0M16
PRJNA352475	SAMN06350191	SRS1992734	SRX2577906	SRR5273923	2726_t0	CA_C10042MS2726SK_t0M15
PRJNA352475	SAMN06350190	SRS1992735	SRX2577907	SRR5273924	2725_t0	CA_C10042MS2725VA_t0M15
PRJNA352475	SAMN06350189	SRS1992736	SRX2577908	SRR5273925	2678_t2	CA_C10039IS2678SA_t2M15
