study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias	sample_title
PRJNA475246	SAMN09382478	SRS3395984	SRX4184611	SRR7280791	EDIA300127	G102229	M0059-Mother:3 months
PRJNA475246	SAMN09382477	SRS3395989	SRX4184610	SRR7280792	EDIA300126	G102228	M0059-Mother:Birth
PRJNA475246	SAMN09382470	SRS3395990	SRX4184609	SRR7280793	EDIA300014	G104684	M0053-Mother:Gest
PRJNA475246	SAMN09382469	SRS3395985	SRX4184608	SRR7280794	EDIA300055	G104685	M0053-Mother:Birth
PRJNA475246	SAMN09382472	SRS3395983	SRX4184607	SRR7280795	EDIA300122	G102231	M0059-Child:14 days
PRJNA475246	SAMN09382471	SRS3395986	SRX4184606	SRR7280796	EDIA300052	G102230	M0059-Child:Birth
PRJNA475246	SAMN09382474	SRS3395991	SRX4184605	SRR7280797	EDIA300124	G102233	M0059-Child:2 months
PRJNA475246	SAMN09382473	SRS3395987	SRX4184604	SRR7280798	EDIA300123	G102232	M0059-Child:1 month
PRJNA475246	SAMN09382476	SRS3395988	SRX4184603	SRR7280799	EDIA300018	G102227	M0059-Mother:Gest
PRJNA475246	SAMN09382475	SRS3395982	SRX4184602	SRR7280800	EDIA300125	G102234	M0059-Child:3 months
PRJNA475246	SAMN09382505	SRS3395981	SRX4184601	SRR7280801	EDIA300149	G102248	M0084-Child:2 months
PRJNA475246	SAMN09382453	SRS3395980	SRX4184600	SRR7280802	EDIA300085	G102210	M0018-Child:3 months
PRJNA475246	SAMN09382498	SRS3395979	SRX4184599	SRR7280803	EDIA300144	G102241	M0074-Child:3 months
PRJNA475246	SAMN09382497	SRS3395978	SRX4184598	SRR7280804	EDIA300143	G102240	M0074-Child:2 months
PRJNA475246	SAMN09382496	SRS3395977	SRX4184597	SRR7280805	EDIA300142	G102239	M0074-Child:14 days
PRJNA475246	SAMN09382495	SRS3395976	SRX4184596	SRR7280806	EDIA300065	G102238	M0074-Child:Birth
PRJNA475246	SAMN09382494	SRS3395975	SRX4184595	SRR7280807	EDIA300109	G102197	M0073-Mother:3 months
PRJNA475246	SAMN09382493	SRS3395973	SRX4184594	SRR7280808	EDIA300066	G102196	M0073-Mother:Birth
PRJNA475246	SAMN09382492	SRS3395974	SRX4184593	SRR7280809	EDIA300020	G102195	M0073-Mother:Gest
PRJNA475246	SAMN09382491	SRS3395971	SRX4184592	SRR7280810	EDIA300112	G102202	M0073-Child:3 months
PRJNA475246	SAMN09382490	SRS3395972	SRX4184591	SRR7280811	EDIA300111	G102200	M0073-Child:1 month
PRJNA475246	SAMN09382489	SRS3395970	SRX4184590	SRR7280812	EDIA300110	G102199	M0073-Child:14 days
PRJNA475246	SAMN09382632	SRS3395969	SRX4184589	SRR7280813	EDIA301098	G102302	M0399-Child:14 days
PRJNA475246	SAMN09382631	SRS3395968	SRX4184588	SRR7280814	EDIA300416	G102301	M0399-Child:Birth
PRJNA475246	SAMN09382630	SRS3395966	SRX4184587	SRR7280815	EDIA301081	G102308	M0388-Mother:3 months
PRJNA475246	SAMN09382629	SRS3395967	SRX4184586	SRR7280816	EDIA300420	G102307	M0388-Mother:Birth
PRJNA475246	SAMN09382636	SRS3395965	SRX4184585	SRR7280817	EDIA300263	G102298	M0399-Mother:Gest
PRJNA475246	SAMN09382635	SRS3395964	SRX4184584	SRR7280818	EDIA301101	G102305	M0399-Child:3 months
PRJNA475246	SAMN09382634	SRS3395961	SRX4184583	SRR7280819	EDIA301100	G102304	M0399-Child:2 months
PRJNA475246	SAMN09382633	SRS3395963	SRX4184582	SRR7280820	EDIA301099	G102303	M0399-Child:1 month
PRJNA475246	SAMN09382666	SRS3395962	SRX4184581	SRR7280821	EDIA301177	G102320	M0487-Child:2 months
PRJNA475246	SAMN09382672	SRS3395960	SRX4184580	SRR7280822	EDIA301402	G104619	M0740-Child:2 months
PRJNA475246	SAMN09382638	SRS3395958	SRX4184579	SRR7280823	EDIA301103	G102300	M0399-Mother:3 months
PRJNA475246	SAMN09382637	SRS3395959	SRX4184578	SRR7280824	EDIA300421	G102299	M0399-Mother:Birth
PRJNA475246	SAMN09382675	SRS3395957	SRX4184577	SRR7280825	EDIA301566	G104656	M0744-Child:1 month
PRJNA475246	SAMN09382676	SRS3395956	SRX4184576	SRR7280826	EDIA301567	G104657	M0744-Child:2 months
PRJNA475246	SAMN09382673	SRS3395953	SRX4184575	SRR7280827	EDIA301403	G104620	M0740-Child:3 months
PRJNA475246	SAMN09382674	SRS3395954	SRX4184574	SRR7280828	EDIA301400	G104617	M0740-Child:14 days
PRJNA475246	SAMN09382558	SRS3395955	SRX4184573	SRR7280829	EDIA300269	G102261	M0261-Child:Birth
